ID,Split,Lesson_Topic,History,Expert_Human_Tutor,Peda_Strategies,LPD,LPD_Probabilities,BES,BES_Probabilities,BERT,BERT_Probabilities
411065319,train,3.6D.Decomposing Figures,||| teacher: Sounds great. ||| teacher: Use the area formula to find the area of the current patio. ||| teacher: What is the area of the pink rectangle? ||| student: 4 m ||| ,"Hm, not quite",explain_concept,,,,,,
2950057118,train,5.2A.Decimal Numbers,||| teacher: Excellent work! Plus 1 point. ||| teacher: Here comes the question. ||| teacher: Is that your final answer? ||| student: 0.8 ||| ,Correct! How would we write 0.8 in standard form?,ask_question,,,,,,
298948522,train,4.2G.Convert Fractions to Decimal Form,||| teacher: You are doing a good job. ||| teacher: So far so good. keep going. ||| teacher: Are you done with your answer? ||| student: yes ||| ,"Great try! When we convert fractions to decimals we want to think about it as part of a whole. So, 1/2 is 0.5 because 0.5 is half of 1!",provide_strategy,,,,,,
292861665,train,6.8D.Areas by Decomposition,"||| teacher: Finally, we need to add the areas of both rectangles. ||| teacher: Go ahead and try to find the answer. ||| teacher: What is the value of 36+42? ||| student: 1,512 ||| ",Great try - looks like you solved the problem 36 x 42.,provide_correction,,,,,,
405479868,train,5.2A.Comparing Decimals,"||| teacher: Since 16.50 and 12.95 have less than 2 tens, we know that they are both less than 20. ||| teacher: Hence Marty saved less than his goal in May and July. ||| teacher: Do you understand what I did? ||| student: a little bit ||| ","Let's try another problem. Let's say Marty is trying to save more than $40. If he saved $32.45, did he meet his goal?",provide_similar_problem,,,,,,
4055603103,train,3.2B.Multiples of Ten,||| teacher: Is that your final answer? ||| student: no\\ ||| teacher: What is the final answer? ||| student: nhw ||| ,"Sorry, I don't understand. Could you type it again?",explain_concept,,,,,,
291642182,train,5.3K.Decimal Numbers,||| teacher: Here is your next question. ||| teacher: Go ahead. ||| teacher: Is that your final answer? ||| student: no mam ||| ,"Ok, take your time",provide_hint,,,,,,
296305517,train,3.1G.Shapes and Area (Review) - 2,||| teacher: I'm not able to hear you. ||| student: okay ||| teacher: How long is the wood the carpenter wants to break into pieces? ||| student: 2 inches ||| ,"Hmm, not quite. Could you let me know how you got 2 inches?",provide_hint,,,,,,
617203330,train,4.4G.Dividing with Remainders,||| student: You are the best ||| teacher: Read the question carefully. ||| teacher: How many times 27 can go into the 4th fact? ||| student: 4  times in ||| ,"Great try, but that is incorrect. We want to know how many times 4 can go into 27.",ask_question,,,,,,
6165953133,train,3.6B.Quadrilaterals (Review) - 2,||| teacher: Sorry for the delays. ||| student: its ok ||| teacher: What is the name of quadrilateral having the length bigger than width? ||| student: rhombus ||| ,Great try! A rhombus has 4 congruent sides.,explain_concept,,,,,,
411065356,train,3.6D.Decomposing Figures,||| teacher: What is the area of the bottom rectangle? ||| teacher: That's correct. ||| teacher: What is the area of the top rectangle? ||| student: es 50 ||| ,"Ah, not quite. What is the length and the width of the top rectangle?",provide_correction,,,,,,
2989417116,train,4.2A.Comparing Decimals,"||| teacher: Is that picture visible to you? ||| student: 16.00 ||| teacher: Is that your final answer,16.00? ||| student: uhh yes ||| ","Hmm, not quite. If I had some apples and some bananas, and I showed you this:",explain_concept,,,,,,
401597413,train,2.2B.Expanded Notation (Review) - 1,||| teacher: Go ahead and read the question carefully. ||| student: ok ||| teacher: What are we asked to find in this question? ||| student: 928 ||| ,"Yeah, that's it. More precisely, they want us to write the expanded notation for 928",encourage_student,,,,,,
292858183,train,7.4B.Identify Unit Rate,"||| student: ok ||| teacher: We have to use the coordinates of the point (2, 300) and substitute them into the formula of speed. ||| teacher: How can we find the speed of the train? ||| student: by multyplying ||| ",Great try. What are the units for speed?,ask_question,,,,,,
405560331,train,3.2B.Multiples of Ten,"||| student: ok ||| teacher: Try to figure it out, and I can help you along the way. ||| teacher: What is the final answer? ||| student: 90 ||| ","Oh, you're pretty close. We want the 8th multiple of 10. Could you type the multiples of 10 up to 100?",provide_strategy,,,,,,
294939049,train,5.2A.Decimal Numbers (Review) - 1,||| teacher: There are 0 tens in the number. ||| teacher: There are 9 ones in the number. ||| teacher: How would you write the whole number four hundred nine? ||| student: is it right ||| ,"Ah not quite. You're very close though. The number you write is four-thousand and nine. If it has 4 digits before the decimals, then it would be a number in the thousands. How can we modify your answer so it's four hundred nine?",provide_hint,,,,,,
427316871,train,8.4A.What is Slope?,"||| teacher: Yes, that's the correct answer! ||| teacher: +1 point for your great answer. ||| teacher: What is the value of y1? ||| student: 5? ||| ","Ah, that number is the x1. Remember the y value is how far up/down the coordinate is",provide_hint,,,,,,
295002644,train,5.3B.Word Problems with Standard Measurement,||| teacher: Try to figure it out. ||| teacher: Are you working on that question ||| teacher: ? ||| student: yes ||| ,Great try! It looks like you are close - can you check your work?,ask_question,,,,,,
296351136,train,3.4H.Understanding Division,||| teacher: That is a very good start. ||| teacher: Nice going. ||| teacher: Is that your final answer? ||| student: yes ||| ,Great try! What does it mean if two people split evenly?,ask_question,,,,,,
429321383,train,4.7A.Measuring Angles,||| teacher: Keep going. ||| teacher: Keep up the good work. ||| teacher: What is your final answer? ||| student: 85 ||| ,"Remember there are two ways to read the protractor, are you sure you used the right set of numbers?",provide_hint,,,,,,
634922867,train,4.6D.Classifying 2D Figures,||| student: sory it tiped that ||| teacher: It's okay. ||| teacher: Are all the shapes that follow Timothy's rule the same type of polygon? ||| student: yes ||| ,"No, not quite. Timothy's rule is that the polygon needs to have a right angle",explain_concept,,,,,,
425197620,train,3.4A.Two-Step Word Problems,||| teacher: Any questions so far [STUDENT]? ||| student: no ||| teacher: Alright. Mike has 4 cookies and he eats 3 cookies. So Mike has ______ cookie left? ||| student: He has 10 cookies  left. ||| ,That is incorrect. What operation would you use to solve this problem?,ask_question,,,,,,
29280988,train,5.7A.Standard Conversions,"||| teacher: Here is the first question. ||| teacher: In this question, we are asked to find the total minutes of the game. ||| teacher: How many minutes is 1 hour? ||| student: 59 minutes ||| ",Very close! an hour is 60 minutes,explain_concept,,,,,,
613635763,train,5.6B.Volume of Rectangular Prisms,"||| teacher: Please show your work on the whiteboard using the Pencil Tool ||| student: i well be right back ||| teacher: Okay, Let me know when you are back? ||| student: i have to leeve ||| ",We understand emergencies happen. I'll see you at your next session.,encourage_student,,,,,,
613639457,train,5.4G.Volume of Rectangular Prisms,||| student: ok ||| teacher: Keep going. ||| teacher: What is your final answer? ||| student: 260 ||| ,Great start! Can you explain how you got 260?,ask_question,,,,,,
298021766,train,8.4C.Relationships of Functions (Review) - 1,"||| teacher: Half way between 2 and 3 on the x axis. ||| student: yes ||| teacher: What is the output for this graph when the input is 2.5? ||| student: 5,000 ||| ",Great try! Let's look between 2 and 3. How high do you notice the function is?,provide_strategy,,,,,,
289868372,train,4.2A.Place Value,"||| teacher: Try to figure it out, and I can help you along the way. ||| student: ok ||| teacher: Where is the tens place? ||| student: she would have 1,200 ||| ","Great try! She would have 1,200, but where is the tens place?",ask_question,,,,,,
289437613,train,4.4A.Subtracting Multi-Digit Numbers,||| teacher: Good start!! ||| student: 21372 ||| teacher: Is this your final answer? ||| student: yes ||| ,Great try! When we are calculating 6 - 4 we can start with 6 on the number line and move to the left 4.,provide_strategy,,,,,,
