Split,Expert_Human_Tutor,Label
train,Do you think Neural Link will allow you to live after death? I thought it was just a brain-computer interface.,0
train,Maybe its a little too early to even be thinking about this. Just aim for med school and enjoy the journey!,0
train,BRILLIANT. I love it.,0
train,"Great try! When you plot the point (3, 2) you need to make sure you move in the horizontal direction first. You actually graphed the point (2,3)",1
train,"Hm, not quite. In order for a shape to be a quadrilateral, it must not only have 4 sides, but it must be closed",1
train,yum yum yum no only good old oily frier,0
train,"okayish, it is flying by quicker than I expected. How is your day going on?",0
train,I would like you to work this problem again. Use should use your calculator to double check your work.,1
train,"Nice... I always find it hard to fit the turkey in my small oven. Also, we are not big turkey fans... so we roll with Thanksgiving with chicken 😉",0
train,"Ah, you're on the right track. A trapezoid could have 2 equal angles, but doesn't have to ",1
train,Ah ok. Which part are you having trouble with?,1
train,I signed up this time to be a mentee. I have got a good mentor .,0
train,"Oh wow, you sound like an expert! Have you done this before?",0
train,What do you think about human like chat bots?,0
train, Sounds great! I recommend spain. It's perfect for road trips.,0
train,how's it going?!?,0
train,Let's look at this problem again. We know Jason sprinted 6 ft. We also know our answer should be in yards. This means we should use conversion measurements.  How many feet are in a yard?,1
train,Where do you stay?,0
train,Great try! What does it mean if two people split evenly?,1
train,"Admit my favorite store is Target, plus they often have good deals.",0
train,My name is pikachu. it’s nice to meet you! What are you up to this month?,0
train,gotcha. anything you love about where you live?,0
train,Great try - looks like you solved the problem 36 x 42.,1
train,"I had a croissant, and it was amazing. So buttery and flaky!",0
train,Are you sure? Can you double-check your addition?,1
train,"That would measure the distance around his garden, like if he wanted to build a fence. But what would measure the inside of his garden, where the plants would go?",1
train,I really like Penelope. Her story arc is so interesting!,0
train,Well done! Measuring length is seeing how long something is.,1
train,Can you show your first step on the whiteboard?,1
train,Great try! When you multiply make sure you multiply the ones and then carry the tens!,1
train,"This one is actually from Peru, which is more my taste. Smoking isn't very healthy, but it's actually quite relaxing, which in a way is good for your health. haha",0
train,really? why?,0
train,Great try! To subtract 45 from 95 you'll need to first subtract the ones place.,1
train,that's great. It's so cold these nights. Right setting for hot coco. Do you have anything you enjoy doing during cold times?,0
train,"Hm, not quite. What I mean to say is, how many times can 1000 go into 2000?",1
train,"Ok, great. Would you like to end the session?",1
train,"Great try - you are correct that we will measure length! To do so, we will need to know the unit marked at the top of the ruler.",1
train,Great try! Can you explain why you said polygon as your answer?,1
train,what food do you like to eat?,0
train,"Hmm, not quite. We're looking for a number that's bigger than 9 and also smaller than 15.",1
train,Great - let's try another problem. Can you reduce 3/15 to an equivalent fraction?,1
train,Can you explain what you mean?,1
train,Oh wow! Sounds fancy! What is that about?,0
train,"Ah, good thought, thanks!",0
train,"A sandwich for lunch? Was it filling. I'm currently having some mix of shrimp, fish, chicken and pork. I'm considering going vegetarian though. Lol.",0
train,Hawaii... looking forward to warm beaches.,0
train,yay! Turkey and shopping!,0
train,"Volunteers have to book the place before the event, send out details of the event to participants, handle some logistics and ensure everything goes smoothly. It will be fun!",0
train,"Ok, what are we counting?",1
train,Great try! In 728 the 8 is in the ones place.,1
train,Great try! How do you find area?,1
train,I'm doing well. having many meetings today 🙂,0
train,"Great try! You are on the right track. A cube is a 3 dimensional object, but we want a quadrilateral (with only 4 sides)",1
train,You attend these often?,0
train,A ray has to have two letters in its name. The first letter is the starting point and the second letter is any point on the ray.,1
train,"Sorry, what I meant to say is that we need to change any mixed number into an improper fraction. Do you see how there's a 20 in front of the 2/5?",1
train,How's it going?,0
train,The flu has been hitting hard as well. I had several folks in the house down at one point.,0
train,"It has abt 20 obstacles like crossing high walls, monkey bars, etc. Its fun",0
train,Great job!,1
train,How's your day going?,0
train,great! just came back from a ski trip,0
train,that seems like a good book. does it have good tips on how to sleep better?,0
train,"Oh you're very close. When we multiply the 2 and the 6, please don't forget to carry the 1",1
train,"Good try! When you divide whole numbers, the number should get smaller because you are dividing it into groups. For example, 10 divided by 5 is 2 because you can make two groups of 5.",1
train,"It's great, thanks. I'm trying to learn how to make croissants.",0
train,We didn't have electricity growing up. Explains a lot. Lol.,0
train,"I normally don't reflect back too much on things, but i guess 2019 have been very favorable for me in terms of time spent with family and friends and work life balance. Why do you ask?",0
train,WHAT? Why would you do that? Take the least interesting day of the week off and work on the most interesting?,0
train,Oh that is great! I love seafood - especially shellfish!,0
train,I’m thinking about the Grand Canyon. It’s been on my bucket list for a while.,0
train,"Oh, no that's not it. 10 x 5 = 50, but 10 / 5 is something else",1
train,Let's try another multiplication problem. What is 23 times 2?,1
train,What's the sum of the total number of minutes?,1
train,Yes,0
train,"Where would you most like to go, if you could?",0
train,"It was called IJGD. It's a German organization, but they have local partners all over the world. I was living in Germany at the time.",0
train,Meetings can be exhausting! Did you get anything done?,0
train,Oh cool! do you know any french? I used to take french in high school but basically forgot most of it,0
train,Ok - to find perimeter we have to add up all the sides. What are the lengths of each of the sides?,1
train,Great try! Can you explain what you did to get your answer?,1
train,Wow. The game is brutal like that. I've always been sceptical of acupuncture. Like...does it even work? Why? How? Where is the literature?,0
train,"Ah, we may have gotten our x and y coordinates mixed up",1
train,How is your day?,0
train,Great idea! Perpendicular lines do make a right angle. Can you name a right angle in the figure?,1
train,"Great try! What operation can we use when we use the words ""go into""?",1
train,Can you double check your work? Count up 6 from 9,1
train,"Ah, not quite. It's tricky question, so I'll define it for you",1
train,"Very nice. I love sorbet's and smoothies. Changing topics, Do you believe in an afterlife?",0
train,It's actually not that impressive. I can only run. I cannot lift weight.,0
train,We had to redesign the company website. It took a lot of collaboration but turned out great!,0
train,"Yes, I’m hoping to go for the holidays.",0
train,"Great try! If the 1 is in the numerator, what's the denominator?",1
train,excellent. let me know when you have tried those. I like Parlor better because it has soft-shell crabs,0
train,"Oh good job showing your work! However, we're looking for a factor of 20 for this question",1
train,I don't recall. My friend was hosting me and did all the leg work. Do you know any people in the area?,0
train,oh... sorry to hear that. But after that it will be a hard earned vacation,0
train,"Florence sounds incredible. I’ve seen photos of the Duomo, and it looks breathtaking.",0
train,The area of the parking lot is a rectangle shape. We use the formula length times width to determine the area. The length is 4 and the width is 6. What is the area?,1
train,Lol. Would you say that to someone who lost a loved one - or some similar circumstance?,0
train,Great try! Let's try adding the ones place first.,1
train,"Hm, not quite. Could you tell me how you got 2400?",1
train,So we are looking for the place value of the 5 in 156. Notice how the 5 is the second digit from the right,1
train,You're on the right track! A square has all four congruent sides. Are all the sides of this shape congruent?,1
train,Thinking of checking out a new restaurant with some friends.,0
train,Not quite. The formula is w times h times l. What is the h?,1
train,What do you mean exactly? What would 2540 be rounded to the nearest hundred?,1
train,"That could be one of the coordinates, what would be the x-coordinate when the y is 300?",1
train,"Ah, not quite. Looking at your work, it looks like we forgot to carry the 3 when we multiplied the 4 and 8",1
train,I'm working on a theory. Why does the lotus spring to mind?,0
train,Great try! An octagon has 8 sides (I remember this by thinking about an octopus having 8 tentacles). The prefix for 5 is pent,1
train,I’ll definitely add it to my list. Any other recommendations?,0
train,Could you show me what you mean on the whiteboard?,1
train,"Yes, the darkness can be a bit depressing. This weekend I went rock climbing! It was great! How about yourself?",0
train,There is sports tournament (badminton + tennis + basketball) organized by google next week. Would you like to volunteer for these events?,0
train,The formula will have only letters. What is the formula for the area of a triangle?,1
train,I do oil painting.,0
train,yup!,0
train,"Hmm, not quite. If I had some apples and some bananas, and I showed you this:",1
train,I'm going to impersonate a pumpkin,0
train,I just finished “Bridgerton.” The drama is so addictive!,0
train,So close! 4x3 is 12. So what would 4x4 be?,1
train,I'm reading the Three Body Problem. Ever heard of it?,0
train,haha. what are you talking about?,0
train,"Hmm, not quite. We're asked to determine whether the lines are parallel, perpendicular, or neither.",1
train,True! I think we should set aside some time to discuss some project details? Does tomorrow afternoon work for you?,0
train,"i forgot where it was, it wasn't local i don't think though",0
train,"Remember that for it to be a square, it must have 4 sides of equal length and 4 right angles",1
train,It’s pretty sunny today! Perfect for a walk.,0
train,2 times 12 is 24 but we're looking for 3 times what is 24. You could think of this as 24 divided by 3.,1
train,"Hmm, not quite. We're asked to estimate the sum of 10 + 20 + 30 + 40 + 50 +  60 + 70 + 80 + 90 + 100",1
train,Great try! Let's talk about some definitions. A ray has one endpoint and then extends forever in one direction. How is a ray different than a segment?,1
train,Great! Let's try to answer the question. What is the measurement of the red angle?,1
train,Great try! Let's think about place value.,1
train,"Oh, I would love to twiddle my thumbs. You're so lucky! Today, I've been mostly attending meetings, reading and writing docs, reading papers etc.",0
train,"I'm looking through some old photos of my home town, so I'm feeling nostalgic.",0
train,"Ah, close. Product means multiplication. In other words, what is 6 x 2?",1
train,"Hmm, not quite. 3 x 4 is just 3 + 3 + 3 + 3. Could you add those together and let me know what you get?",1
train,Today is a work day! How did you have time for that? I'm going through a lot right now.,0
train,Thats great! This is valuable help for the community. I think mental health is one of the bigger challenges facing humanity.,0
train,"Great try! But that is incorrect. If the whole numbers are equivalent, you should look at the tens place to determine which one is bigger. Which is bigger of 5.4 and 5.7?",1
train,That's right! Any other characteristics that a square needs to have?,1
train,That's true! A rectangle does have 4 sides. Could you take a look at this shape and let me know whether or not it's a rectangle?,1
train,I think it can take many different forms as a product. The research implication is also huge! It will signify how AI research has progressed so far and better place to tackle more futuristic problems 🙂 Sort of like stepping on the moon 🙂 I might be overselling it here 😛,0
train,Bye,1
train,That's not correct. What are the two numbers being compared?,1
train,Great try! We are asked to find the ratio of fish to fishermen.,1
train,"Oh everything! I went to an onsen, the fish market, disney land and giant robot fighting show haha",0
train,"Great try, but you made an arithmetic mistake. Can you check your work?",1
train,Great try! Let's look at the endpoints of the line. One is at 2 and the other endpoint is where?,1
train,Great try! Let's look between 2 and 3. How high do you notice the function is?,1
train,How many cups are in a quart? You can use your conversion table to help.,1
train,How has that been going?,0
train,Did we dance together perchance?,0
train,"Hahah yes, they all look the same! I saw that very same movie over Thanksgiving break. Lots of twists and turns!",0
train,oh no. I never seen this in person. Is it scary?,0
train,Great try - let's talk about how we can convert from kilograms to grams.,1
train,"When we see an exponent, we multiply the number by itself however much the exponent is. Is this example, that is 3 times 3 times 3. What is that value?",1
train,I'm doing great how are you??,0
train,"Ah, close! Keep in mind the short hand is the hour and the long hand is the minute, not the other way around",1
train,Ok great! Have a good night!,1
train,What do you do to unwind?,0
train,"Hm, not quite. Could you tell me how you got 14?",1
train,That's a great try! A line of symmetry cuts a shape into two of the exact same halves.,1
train,I’m trying to build a personal finance app that helps people track their spending.,0
train,Lol. No. I know too many people whose lives suck.,0
train,"Last weekend I saw ""The Parasite."" Ever heard of it?",0
train,A quadrilateral is a shape with four sides. Is a rectangle a quadrilateral?,1
train,I just came back from work. so tired,0
train,"Ok, let's work through a problem. Can you add 244 and 32?",1
train,Good job today. Let's recap. What is a prime number?,1
train,"Great! You said ""a figure that has sides"".",1
train,"Great try, but that is incorrect. We want to know how many times 4 can go into 27.",1
train,"Probably on my own for now. I’ve got some supplies, so I’ll just see how it goes.",0
train,Great try! Can you explain how you got 9:15?,1
train,people say there is drought here... but we have 24 hours water supply here ... lol... never seen that in a drought ridden area,0
train,Should be very sunny! you?,0
train,Great start! We do want to find the total area of the 1 shape. How big is the brick?,1
train,"yes, the bar chords are the worst. It took me several months to play them well. I still can't play them for a long time though",0
train,Oh very cool. I hear its nice over there. Do you go often?,0
train,"You're really close! I can see from your work you are really understanding the concept, you just made a tiny mistake. Can you try to find it?",1
train,Great try! Remember that a ratio should be written as a fraction. In this case we want to write it as men/women,1
train,"I watched a few lately, but nothing is as good as Avatar. what's your favorite?",0
train,yeah was working all night on a homework,0
train,What did you get?,1
train,I’d love to go to Japan. The culture and food fascinate me!,0
train,"If we have to borrow, we will have one less that what was previously there. What is one less than 4?",1
train,I am doing well. Do you have any plans for the holidays?,0
train,"Oh, very clever pun! I like it! Depends. I remember having real Christmas trees from childhood, but these days with climate change, I think not chopping down a tree just to decorate it and then throw it out in a month is the more responsible thing to do.",0
train,"Oh, we don't need to find the answer to question 1 just yet. It could be 30 square feet, but I haven't calculated it yet.",1
train,Great try! Let's check our answer. How can we check our answer?,1
train,I was flying my kite today in the sunshine! What did you have for lunch?,0
train,"It's so that we know use the wrong information when calculating the answer. For example, Abby has 3 apples and 4 bananas. Bob has 2 apples and 6 bananas. How many apples do Abby and Bob have in total?",1
train,"Not quite, but can you find the repeating pattern?",1
train,All good. Planning to head home soon. How about you?,0
train,"Hmm, not quite. This question is asking us to pick the greatest decimal out of the available options. To do this, we just compare the place values from left to right",1
train,Let me help you out a bit. We have 16 apples and 4 kids. We need to figure out how many apples each kid gets if we were to divide the apples evenly,1
train,"Hmm, try taking some <REDACTED_TERM>! I'm going to see the Warriors vs. the Grizzlies. Ever see them play?",0
train,"Hmm, no that's not it. Each coordinate pair represents one point, not two. For example, (7, -6) represents one point",1
train,Correct! Do you remember how to do that?,1
train,Great try! We could say 7*5=5*7,1
train,"Oddly enough, I also catch Pokémon on my phone. I used to do it more, but it just never ends. I used to do it everyday. Now I mostly catch them when I travel somewhere exotic.",0
train,Oh wow! Are you going to watch it live? Or watch it on TV?,0
train,I'm mark. I work in accounting,0
train,Isn't it just! What are you up to today?,0
train,"haha you're too funny! Perhaps instead of mind-reading powers, you have the ability to feel the auras of foods that have come and gone...",0
train,I have been with the company for over 3 years. Stick with the same team What about you?,0
train,I'm taking a fake sick day from work so I can go to the movies.,0
train,I went to a park nearby. It has this great trail that loops around a lake.,0
train,You might like the UFC haha. I actually have a jiu jitsu tournament coming up so this weekend I will be training!,0
train,"Sorry, it looks like you're close, but you have a small error. Can you recheck?",1
train,I love ice cream too!,0
